ID,Urne,QR-Code,Categorie,1 - Proteger les pietons et reduire les nuisances sonores,2 - Developper le commerce de proximite dans le quartier de l Europe,3 - Poursuivre le renouveau du parc Monceau,4 - Renover les grilles de l avenue Ruysdael et les allees du parc Monceau,5 - Restaurer la facade ouest de l eglise de la Madeleine et ses statues,6 - Restaurer le patrimoine de la place de la Concorde,7 - Restaurer les grilles emblematiques du parc Monceau - avenue Van Dyck,8 - Restaurer les grilles emblematiques du parc Monceau - avenue Velasquez,9 - Restaurer les grilles emblematiques du parc Monceau - Bd de Courcelles,"10 - Apaiser, vegetaliser des rues et places de l arrondissement",11 - Renover le marche aux fleurs de la Madeleine et le gymnase Condorcet,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
66501,U08-002,2022AR08A,Valide,novote,2,novote,novote,2,novote,2,novote,novote,novote,2,4,0,4,0,0,7
66502,U08-004,2022AR08A,Valide,novote,novote,1,1,novote,1,novote,1,novote,1,novote,5,5,0,0,0,6
66512,U08-004,2022AR08A,Valide,2,3,3,3,2,2,3,3,3,1,1,11,2,3,6,0,0
66514,U08-001,2022AR08B,Valide,novote,novote,novote,novote,novote,1,1,1,1,novote,novote,4,4,0,0,0,7
66525,U08-002,2022AR08B,Valide,2,2,3,3,3,3,3,2,2,2,1,11,1,5,5,0,0
66530,U08-005,2022AR08A,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
66533,U08-004,2022AR08A,Valide,1,3,1,4,4,novote,3,3,3,1,3,10,3,0,5,2,1
66534,U08-002,2022AR08B,Valide,1,1,2,3,3,1,2,2,1,2,2,11,4,5,2,0,0
66539,U08-001,2022AR08A,Valide,2,1,3,3,2,1,2,1,2,1,1,11,5,4,2,0,0
66548,U08-002,2022AR08B,Valide,2,novote,1,novote,novote,2,novote,2,2,2,novote,6,1,5,0,0,5
66562,U08-004,2022AR08A,Valide,1,novote,1,novote,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,7
66566,U08-001,2022AR08A,Valide,1,1,3,1,2,2,1,1,2,1,3,11,6,3,2,0,0
66573,U08-002,2022AR08A,Valide,1,novote,1,novote,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,7
66582,U08-002,2022AR08A,Valide,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
66583,U08-002,2022AR08B,Valide,2,3,2,3,3,3,2,2,2,1,1,11,2,5,4,0,0
66588,U08-004,2022AR08A,Valide,1,3,2,2,2,2,2,2,2,3,3,11,1,7,3,0,0
66594,U08-002,2022AR08B,Valide,1,1,1,3,3,4,3,3,3,1,3,11,4,0,6,1,0
66596,U08-002,2022AR08B,Valide,1,3,2,3,3,1,2,2,2,3,1,11,3,4,4,0,0
66602,U08-002,2022AR08B,Valide,3,3,3,novote,novote,novote,novote,novote,novote,3,novote,4,0,0,4,0,7
66608,U08-002,2022AR08A,Valide,novote,novote,1,1,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,7
66613,U08-004,2022AR08A,Valide,1,novote,1,novote,1,novote,1,1,1,1,novote,7,7,0,0,0,4
66614,U08-002,2022AR08A,Valide,1,4,4,4,1,2,1,1,1,4,4,11,5,1,0,5,0
66625,U08-002,2022AR08B,Valide,4,1,1,4,4,1,4,4,4,1,4,11,4,0,0,7,0
66626,U08-004,2022AR08A,Valide,novote,1,novote,novote,novote,1,novote,novote,1,1,novote,4,4,0,0,0,7
66629,U08-002,2022AR08A,Valide,1,1,3,3,2,2,3,3,3,1,3,11,3,2,6,0,0
66630,U08-005,2022AR08A,Valide,1,2,4,4,4,4,4,4,4,1,4,11,2,1,0,8,0
66638,U08-004,2022AR08A,Valide,3,1,3,4,3,2,2,novote,novote,novote,1,8,2,2,3,1,3
66649,U08-002,2022AR08B,Valide,novote,novote,novote,novote,novote,3,novote,novote,3,2,1,4,1,1,2,0,7
66650,U08-008,2022AR08A,Valide,1,1,novote,novote,1,1,1,novote,novote,novote,1,6,6,0,0,0,5
66653,U08-001,2022AR08B,Valide,1,2,1,3,2,2,3,3,3,1,3,11,3,3,5,0,0
66658,U08-002,2022AR08B,Valide,2,3,2,2,3,1,2,2,2,1,1,11,3,6,2,0,0
66664,U08-001,2022AR08B,Valide,1,2,1,1,4,4,1,1,1,novote,2,10,6,2,0,2,1
66679,U08-001,2022AR08A,Valide,4,4,4,4,3,novote,novote,novote,novote,novote,novote,5,0,0,1,4,6
66684,U08-002,2022AR08B,Valide,2,2,2,3,3,1,2,3,3,1,3,11,2,4,5,0,0
66687,U08-004,2022AR08A,Valide,1,1,1,2,2,2,2,2,2,1,1,11,5,6,0,0,0
66696,U08-002,2022AR08A,Valide,1,2,1,2,2,2,2,2,2,1,1,11,4,7,0,0,0
66697,U08-002,2022AR08B,Valide,1,1,1,1,3,3,3,3,3,1,4,11,5,0,5,1,0
66698,U08-007,2022AR08B,Valide,2,1,2,4,4,4,4,4,4,2,1,11,2,3,0,6,0
66699,U08-005,2022AR08A,Valide,1,1,novote,4,4,4,4,4,4,1,2,10,3,1,0,6,1
66700,U08-004,2022AR08A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66705,U08-004,2022AR08A,Valide,1,1,novote,novote,1,1,novote,novote,novote,1,novote,5,5,0,0,0,6
66708,U08-002,2022AR08B,Valide,novote,1,novote,novote,2,2,novote,novote,novote,1,novote,4,2,2,0,0,7
66712,U08-002,2022AR08B,Valide,3,1,1,2,3,1,2,2,2,1,3,11,4,4,3,0,0
66713,U75-003,2022AR08A,Valide,novote,novote,1,novote,1,novote,1,novote,novote,1,2,5,4,1,0,0,6
66717,U08-002,2022AR08B,Valide,1,2,3,3,3,2,3,3,3,1,1,11,3,2,6,0,0
66727,U08-005,2022AR08A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
66731,U08-002,2022AR08B,Valide,1,2,2,3,3,2,3,3,3,3,1,11,2,3,6,0,0
66733,U08-002,2022AR08B,Valide,1,3,4,4,3,2,3,3,3,3,3,11,1,1,7,2,0
66741,U08-004,2022AR08A,Blanc,1 2,1 2 3,1 2 3,1 2 3,1 2,novote,novote,novote,novote,novote,novote,0,0,0,0,0,6
66746,U08-002,2022AR08B,Blanc,novote,novote,novote,novote,1,1,1,1,novote,1 2,1 2,4,4,0,0,0,5
66754,U08-002,2022AR08B,Valide,2,1,2,3,3,3,3,3,3,1,1,11,3,2,6,0,0
66758,U08-002,2022AR08B,Valide,1,1,3,4,2,3,4,4,4,3,2,11,2,2,3,4,0
66768,U08-002,2022AR08A,Valide,1,novote,1,novote,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,7
66775,U08-003,2022AR08B,Valide,1,1,1,novote,novote,novote,novote,novote,novote,1,novote,4,4,0,0,0,7
66777,U08-004,2022AR08A,Valide,3,2,3,3,1,1,1,1,1,2,1,11,6,2,3,0,0
66778,U08-002,2022AR08B,Valide,1,2,1,1,1,2,2,2,2,4,4,11,4,5,0,2,0
