ID,Urne,QR-Code,Categorie,1 - Renover le terrain du stade de la Muette,2 - Acquerir un kiosque mobile d informations sociales pour Auteuil-Sud,3 - Nettoyer le mur des rampes du Pont de Bir-Hakeim,4 - Nettoyer les murs exterieurs du cimetiere de Passy,5 - Apaiser la circulation automobile dans le 16e,6 - Installer des preaux dans deux ecoles du 16e,7 - Aider a la renovation du domaine de Bagatelle,8 - Restaurer le monument Claude Debussy,9 - Ameliorer le cadre de vie dans le Bois de Boulogne,10 - Restaurer la Fontaine Victor Hugo,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
11749,U16-004,2022AR16A,Valide,1,novote,2,novote,1,2,2,novote,2,novote,6,2,4,0,0,4
11753,U16-004,2022AR16A,Nul,1,novote,novote,novote,novote,1,novote,novote,novote,novote,2,2,0,0,0,8
11757,U16-004,2022AR16A,Valide,2,novote,2,novote,1,1,novote,novote,novote,novote,4,2,2,0,0,6
11762,U16-004,2022AR16A,Valide,novote,novote,novote,novote,1,1,novote,1,1,novote,4,4,0,0,0,6
11763,U16-004,2022AR16B,Valide,novote,novote,novote,novote,2,2,4,3,2,novote,5,0,3,1,1,5
11767,U16-004,2022AR16A,Valide,4,4,3,3,1,3,1,1,1,3,10,4,0,4,2,0
11775,U16-004,2022AR16B,Valide,1,3,2,novote,3,3,2,2,2,1,9,2,4,3,0,1
11780,U16-004,2022AR16A,Valide,1,1,novote,novote,1,novote,1,novote,1,novote,5,5,0,0,0,5
11782,U16-004,2022AR16A,Valide,novote,novote,1,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
11783,U16-004,2022AR16B,Valide,4,4,3,3,4,3,2,3,2,3,10,0,2,5,3,0
11785,U16-004,2022AR16A,Valide,2,2,novote,novote,novote,3,1,2,1,3,7,2,3,2,0,3
11789,U16-004,2022AR16B,Valide,1,2,2,2,2,1,2,1,3,1,10,4,5,1,0,0
11791,U16-004,2022AR16A,Valide,2,2,2,2,2,1,3,2,2,2,10,1,8,1,0,0
11795,U16-004,2022AR16A,Valide,novote,1,novote,2,1,novote,2,novote,novote,novote,4,2,2,0,0,6
11796,U16-004,2022AR16A,Valide,novote,novote,novote,3,3,novote,2,novote,novote,2,4,0,2,2,0,6
11803,U16-004,2022AR16B,Valide,1,4,1,4,4,1,4,4,1,4,10,4,0,0,6,0
11806,U16-004,2022AR16B,Valide,novote,novote,2,novote,1,novote,2,novote,1,novote,4,2,2,0,0,6
11812,U16-004,2022AR16A,Valide,3,1,2,3,3,2,3,4,3,3,10,1,2,6,1,0
11814,U16-004,2022AR16A,Valide,novote,novote,novote,novote,novote,1,4,4,4,novote,4,1,0,0,3,6
11815,U16-004,2022AR16B,Valide,2,novote,2,novote,novote,novote,2,3,2,3,6,0,4,2,0,4
11831,U16-004,2022AR16B,Valide,2,novote,4,novote,1,novote,novote,novote,novote,1,4,2,1,0,1,6
11833,U16-004,2022AR16B,Valide,1,1,novote,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
11835,U16-004,2022AR16A,Valide,2,1,novote,novote,novote,1,2,novote,novote,novote,4,2,2,0,0,6
11853,U16-004,2022AR16B,Valide,novote,novote,1,novote,novote,novote,novote,1,1,1,4,4,0,0,0,6
11864,U16-004,2022AR16B,Valide,2,2,2,2,3,3,2,3,2,2,10,0,7,3,0,0
11897,U16-004,2022AR16A,Valide,3,2,1,1,2,3,4,4,3,2,10,2,3,3,2,0
11900,U16-004,2022AR16A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
