ID,Urne,QR-Code,Categorie,1 - ilot refuge pour pietons et velos pont Alexandre III,2 - Reamenager et equiper les espaces verts du 7e arrondissement,3 - Embellir les cours des ecoles du 7e arrondissement !,4  - Reamenagement des espaces dedies a la jeunesse,5 - Restauration des chapelles Sainte-Valere et Sainte-Clotilde,6 - Restauration du temple de Pentemont,7 - Restaurer la sacristie de l eglise Saint-Thomas d Aquin et son local,8 - Restaurer le Champ de Mars et son mobilier historique,9 - Sauvegarde des statues de l arrondissement,10 - Vegetalisation et equipement de la place Fontenoy,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
4615,U07-005,2022AR07B,Nul,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,1,1,0,0,0,9
4618,U07-005,2022AR07A,Valide,3,2,1,2,2,1,3,1,1,1,10,5,3,2,0,0
4624,U07-005,2022AR07A,Nul,4,novote,novote,1,novote,novote,4,novote,novote,novote,3,1,0,0,2,7
4626,U07-005,2022AR07B,Valide,2,2,2,novote,novote,novote,novote,1,novote,novote,4,1,3,0,0,6
4629,U07-003,2022AR07B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,2,2,1,1,0,0,8
4632,U07-003,2022AR07B,Valide,3,2,3,3,2,3,3,2,novote,4,9,0,3,5,1,1
4633,U07-005,2022AR07A,Valide,2,1,1,1,2,1,2,1,2,1,10,6,4,0,0,0
4634,U07-003,2022AR07A,Valide,3,3,novote,novote,novote,novote,novote,1,novote,1,4,2,0,2,0,6
4635,U07-005,2022AR07B,Valide,3,3,3,1,3,3,3,3,3,3,10,1,0,9,0,0
4637,U07-005,2022AR07B,Valide,1,1,novote,novote,1,2,1,2,1,1,8,6,2,0,0,2
4650,U07-005,2022AR07B,Valide,1,1,novote,1,novote,novote,novote,2,novote,novote,4,3,1,0,0,6
4652,U07-005,2022AR07A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4658,U07-005,2022AR07B,Valide,1,1,4,3,3,3,3,1,1,2,10,4,1,4,1,0
4660,U07-005,2022AR07A,Valide,2,2,novote,1,novote,4,novote,novote,novote,novote,4,1,2,0,1,6
4662,U07-005,2022AR07B,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
4668,U07-005,2022AR07B,Valide,novote,novote,novote,novote,2,1,1,1,1,1,6,5,1,0,0,4
