ID,Urne,QR-Code,Categorie,1 - Favoriser la pratique sportive dans le 15e,2 - Un nouvel espace d escalade au centre sportif La Plaine,3 - Un 15e encore plus solidaire,4 - Un cafe des enfants,5 - Un coup de vert dans le 15e,6 - Des cours d ecoles renovees pour le bien-etre des ecoliers,7 - Des tableaux numeriques interactifs dans toutes les ecoles maternelles,8 - Un kit mobile multimedia pour la jeunesse,9 - Restaurons les decors de Saint-Christophe de Javel,10 - Le renouveau des Freres Voisin,11 - Un espace public pacifie et adapte a tous,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
146135,U15-007,2022AR15A,Valide,1,2,1,2,1,1,1,1,2,3,1,11,7,3,1,0,0
146157,U15-007,2022AR15A,Valide,1,novote,novote,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,7
146286,U15-007,2022AR15A,Valide,2,novote,1,novote,2,2,3,3,2,2,1,9,2,5,2,0,2
146302,U15-007,2022AR15A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
146368,U15-003,2022AR15B,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
146370,U15-007,2022AR15A,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,7
146385,U15-007,2022AR15A,Valide,1,novote,1,novote,2,1,1,3,1,1,2,9,6,2,1,0,2
146408,U15-007,2022AR15A,Valide,1,2,1,1,1,1,4,1,2,2,1,11,7,3,0,1,0
146426,U15-007,2022AR15A,Valide,novote,2,1,novote,3,2,3,2,3,3,1,9,2,3,4,0,2
146448,U15-007,2022AR15A,Valide,2,2,1,1,2,1,1,1,4,4,1,11,6,3,0,2,0
146506,U15-007,2022AR15A,Valide,novote,novote,novote,novote,1,novote,novote,novote,1,2,1,4,3,1,0,0,7
146565,U15-003,2022AR15B,Valide,1,novote,novote,novote,1,1,novote,novote,1,novote,novote,4,4,0,0,0,7
146587,U15-007,2022AR15A,Valide,1,2,1,3,1,1,3,3,1,2,1,11,6,2,3,0,0
146649,U75-001,2022AR15A,Valide,1,1,3,3,1,3,3,3,3,2,1,11,4,1,6,0,0
146716,U15-007,2022AR15A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
147065,U15-003,2022AR15B,Valide,1,2,2,2,1,1,3,1,2,2,2,11,4,6,1,0,0
147123,U15-003,2022AR15B,Valide,1,2,2,2,1,1,1,2,1,3,2,11,5,5,1,0,0
147454,U15-003,2022AR15B,Valide,1,2,2,3,1,2,4,novote,2,2,1,10,3,5,1,1,1
148068,U15-003,2022AR15B,Valide,2,1,3,1,3,2,4,3,1,3,1,11,4,2,4,1,0
148408,U15-003,2022AR15B,Valide,2,1,2,3,1,1,3,3,1,2,2,11,4,4,3,0,0
148450,U15-003,2022AR15B,Valide,1,1,novote,novote,novote,novote,novote,1,1,novote,novote,4,4,0,0,0,7
148914,U15-003,2022AR15B,Valide,2,3,2,3,2,1,3,3,2,3,3,11,1,4,6,0,0
148950,U15-003,2022AR15B,Valide,1,novote,1,novote,1,1,novote,novote,novote,novote,1,5,5,0,0,0,6
148990,U15-003,2022AR15B,Nul,1,1,novote,novote,novote,1,novote,novote,novote,novote,novote,3,3,0,0,0,8
149137,U15-003,2022AR15B,Nul,novote,novote,novote,novote,1,1,novote,novote,novote,novote,novote,2,2,0,0,0,9
149444,U15-003,2022AR15B,Valide,1,2,2,2,2,2,4,2,3,2,2,11,1,8,1,1,0
149836,U15-003,2022AR15B,Valide,2,1,2,1,3,2,1,2,3,2,2,11,3,6,2,0,0
149941,U15-003,2022AR15B,Valide,novote,1,novote,1,4,2,1,2,4,4,novote,8,3,2,0,3,3
150060,U15-003,2022AR15B,Valide,2,2,2,2,2,2,2,2,novote,novote,2,9,0,9,0,0,2
150350,U15-003,2022AR15B,Valide,1,novote,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,7
150462,U15-003,2022AR15B,Valide,1,2,novote,1,2,1,2,1,3,novote,2,9,4,4,1,0,2
150501,U15-003,2022AR15B,Valide,2,1,2,2,1,2,2,2,3,3,3,11,2,6,3,0,0
150779,U15-003,2022AR15B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
150873,U15-003,2022AR15B,Nul,1,novote,novote,novote,1,novote,novote,novote,novote,novote,1,3,3,0,0,0,8
151049,U15-003,2022AR15B,Valide,novote,novote,novote,novote,novote,1,1,1,novote,novote,1,4,4,0,0,0,7
151384,U15-003,2022AR15B,Valide,novote,1,1,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,7
152023,U15-003,2022AR15B,Valide,novote,novote,2,novote,2,novote,novote,2,2,novote,2,5,0,5,0,0,6
152076,U15-003,2022AR15B,Valide,2,1,1,4,2,2,4,2,4,1,3,11,3,4,1,3,0
152204,U15-003,2022AR15B,Valide,1,2,2,4,1,1,4,3,1,3,3,11,4,2,3,2,0
152397,U15-003,2022AR15B,Valide,novote,2,novote,novote,2,2,novote,novote,novote,novote,3,4,0,3,1,0,7
152519,U15-003,2022AR15B,Valide,2,2,3,4,2,2,4,3,4,3,4,11,0,4,3,4,0
152868,U15-003,2022AR15B,Valide,novote,novote,novote,1,novote,1,1,1,novote,novote,novote,4,4,0,0,0,7
152926,U15-003,2022AR15B,Valide,1,3,2,3,1,3,3,3,2,3,1,11,3,2,6,0,0
152944,U15-003,2022AR15B,Nul,novote,2,novote,novote,novote,novote,novote,novote,1,novote,novote,2,1,1,0,0,9
153110,U15-003,2022AR15B,Valide,2,2,1,2,1,2,4,3,3,2,1,11,3,5,2,1,0
153146,U15-003,2022AR15B,Valide,novote,1,2,3,3,2,4,2,2,novote,novote,8,1,4,2,1,3
153269,U15-003,2022AR15B,Valide,2,novote,novote,novote,1,2,4,novote,1,novote,novote,5,2,2,0,1,6
153332,U15-003,2022AR15B,Valide,1,1,novote,novote,novote,1,novote,novote,novote,novote,1,4,4,0,0,0,7
153629,U15-003,2022AR15B,Valide,1,novote,novote,novote,1,novote,novote,novote,novote,1,1,4,4,0,0,0,7
153664,U15-003,2022AR15B,Valide,1,1,novote,novote,1,novote,novote,novote,novote,novote,1,4,4,0,0,0,7
153801,U15-003,2022AR15B,Valide,3,4,2,4,1,1,4,1,4,2,3,11,3,2,2,4,0
153925,U15-003,2022AR15B,Valide,1,2,3,3,1,2,4,3,3,3,1,11,3,2,5,1,0
