ID,Urne,QR-Code,Categorie,1 - Ameliorer l accueil des sportifs dans le 12e arrondissement,2 - Renover nos Terrains d’Education Physique (TEP),3 - Faire du 12e un arrondissement plus solidaire,4 - Realiser deux amenagements ponctuels et mesurer la pollution sonore,"5 - Sublimer nos squares, parcs et jardins",6 - Ameliorer le quotidien des eleves du 12e,7 - Faisons du 12e un arrondissement toujours plus culturel !,8 - Renovons notre Patrimoine,9 - Restaurer la facade de l eglise du Rendez vous,10 - Ameliorer le quotidien des habitant·e·s du quartier Bel-Air Nord,11 - Renforcer l accessibilite et l inclusivite dans le 12e arrondissement,12 - Valoriser les squares du quartier Erard-Rozanoff,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
204594,U12-003,2022AR12A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204595,U12-008,2022AR12A,Valide,3,3,3,2,2,1,1,2,4,3,1,2,12,3,4,4,1,0
204596,U12-010,2022AR12B,Valide,1,1,2,2,1,1,2,3,3,1,2,1,12,6,4,2,0,0
204602,U12-005,2022AR12B,Valide,novote,3,2,2,2,novote,novote,novote,novote,novote,novote,novote,4,0,3,1,0,8
204603,U12-008,2022AR12B,Valide,2,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,4,3,1,0,0,8
204608,U12-005,2022AR12B,Valide,2,2,1,3,2,1,2,3,3,1,1,1,12,5,4,3,0,0
204613,U12-008,2022AR12A,Valide,novote,4,1,3,novote,novote,3,2,1,novote,2,novote,7,2,2,2,1,5
204623,U12-008,2022AR12A,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,8
204629,U12-008,2022AR12A,Valide,2,1,1,2,1,1,1,2,3,2,2,1,12,6,5,1,0,0
204630,U12-010,2022AR12B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,3,3,0,0,0,9
204641,U12-008,2022AR12B,Valide,1,1,1,1,1,1,1,3,2,1,1,3,12,9,1,2,0,0
204651,U12-005,2022AR12B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
204656,U12-008,2022AR12A,Valide,novote,novote,novote,1,1,novote,novote,1,novote,1,novote,novote,4,4,0,0,0,8
204662,U12-008,2022AR12B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,2,novote,2,3,1,2,0,0,9
204667,U12-008,2022AR12A,Valide,2,novote,novote,3,2,3,4,4,4,4,4,4,10,0,2,2,6,2
204669,U12-003,2022AR12A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
204678,U12-008,2022AR12B,Nul,novote,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
204687,U12-008,2022AR12B,Valide,1,2,2,3,1,1,1,1,1,1,1,1,12,9,2,1,0,0
204695,U12-008,2022AR12B,Valide,2,2,2,4,2,1,1,2,4,1,2,3,12,3,6,1,2,0
204704,U12-008,2022AR12B,Valide,2,novote,2,2,2,1,2,2,novote,1,novote,novote,8,2,6,0,0,4
204709,U12-010,2022AR12A,Valide,novote,2,novote,2,novote,novote,1,novote,novote,novote,3,novote,4,1,2,1,0,8
204716,U12-005,2022AR12B,Valide,1,1,2,3,1,1,2,1,2,3,1,2,12,6,4,2,0,0
