ID,Urne,QR-Code,Categorie,1 - Ce serait Elisa « bete » de jouer au tennis sous la pluie !,2 - La balle est dans votre camp pour plus de sport au Stade Didot !,3 - Creons une oasis associative et citoyenne a Porte de Vanves !,4 - Du matos pour les assoc !,5 - Adoucir et rafraichir les espaces verts du 14e,6 - Jouons toutes et tous ensemble !,7 - Ouvrons les ecoles aux enfants extraordinaires !,"8 - Mettre en valeur l Aqueduc Medicis, lieu de patrimoine et d histoire",9 - Un musee a ciel ouvert en quartier populaire !,10 - Un vent de fraicheur sur le patrimoine du 14e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
13646,U14-003,2022AR14A,Valide,novote,novote,novote,novote,1,1,2,novote,1,novote,4,3,1,0,0,6
13652,U14-019,2022AR14B,Valide,4,1,2,2,novote,novote,2,2,2,3,8,1,5,1,1,2
13659,U14-007,2022AR14B,Valide,novote,1,1,1,novote,1,1,2,1,novote,7,6,1,0,0,3
13664,U14-019,2022AR14B,Valide,novote,novote,novote,1,1,1,1,novote,1,1,6,6,0,0,0,4
13667,U14-007,2022AR14B,Valide,novote,2,1,1,novote,2,novote,novote,novote,novote,4,2,2,0,0,6
13676,U14-021,2022AR14A,Valide,2,4,4,3,4,2,1,novote,novote,novote,7,1,2,1,3,3
13682,U14-003,2022AR14A,Valide,novote,2,novote,2,novote,novote,2,novote,1,novote,4,1,3,0,0,6
13690,U14-017,2022AR14A,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,novote,1,1,0,0,0,9
13693,U14-014,2022AR14A,Valide,1,1,novote,novote,novote,1,novote,novote,novote,1,4,4,0,0,0,6
13701,U14-014,2022AR14A,Valide,novote,novote,1,1,novote,novote,novote,novote,1,1,4,4,0,0,0,6
13708,U14-007,2022AR14B,Valide,1,novote,1,novote,novote,novote,1,novote,1,novote,4,4,0,0,0,6
13721,U14-007,2022AR14B,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,6
13722,U14-021,2022AR14A,Valide,novote,novote,novote,2,1,2,novote,2,novote,novote,4,1,3,0,0,6
13723,U14-003,2022AR14A,Valide,1,1,1,1,2,1,1,3,2,3,10,6,2,2,0,0
13726,U14-003,2022AR14A,Valide,novote,novote,1,1,novote,novote,1,2,2,2,6,3,3,0,0,4
13730,U14-021,2022AR14A,Valide,1,1,novote,novote,1,novote,novote,novote,4,novote,4,3,0,0,1,6
13739,U14-021,2022AR14A,Valide,1,2,4,3,2,3,3,3,3,3,10,1,2,6,1,0
13741,U14-022,2022AR14A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,0,0,0,9
13743,U14-017,2022AR14A,Valide,novote,novote,1,novote,1,1,1,1,1,novote,6,6,0,0,0,4
13747,U14-007,2022AR14B,Valide,novote,1,1,novote,2,novote,novote,novote,2,novote,4,2,2,0,0,6
13769,U14-007,2022AR14B,Valide,novote,1,1,2,novote,2,2,novote,novote,novote,5,2,3,0,0,5
13778,U14-017,2022AR14A,Valide,3,2,3,3,2,2,1,4,3,3,10,1,3,5,1,0
13779,U14-007,2022AR14B,Valide,novote,1,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,6
13782,U14-007,2022AR14B,Valide,3,novote,1,1,1,novote,2,novote,novote,novote,5,3,1,1,0,5
13795,U14-007,2022AR14B,Valide,novote,1,novote,novote,2,novote,novote,novote,2,2,4,1,3,0,0,6
13801,U14-003,2022AR14A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
13805,U14-007,2022AR14B,Valide,novote,novote,1,novote,novote,1,1,1,1,1,6,6,0,0,0,4
13811,U14-021,2022AR14A,Valide,1,3,2,3,2,2,2,2,1,2,10,2,6,2,0,0
13816,U14-007,2022AR14B,Valide,novote,novote,2,novote,2,2,novote,novote,2,novote,4,0,4,0,0,6
13825,U14-007,2022AR14B,Valide,2,4,1,4,4,4,4,4,4,4,10,1,1,0,8,0
13843,U14-007,2022AR14B,Valide,novote,novote,1,novote,2,2,novote,novote,1,novote,4,2,2,0,0,6
13854,U14-007,2022AR14B,Valide,novote,1,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,6
13862,U14-007,2022AR14B,Valide,1,1,1,novote,novote,2,3,novote,novote,novote,5,3,1,1,0,5
13866,U14-021,2022AR14A,Valide,1,novote,novote,novote,2,2,novote,novote,3,novote,4,1,2,1,0,6
13893,U14-007,2022AR14B,Valide,1,1,1,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,6
13896,U14-007,2022AR14B,Valide,novote,2,1,novote,novote,novote,novote,novote,2,2,4,1,3,0,0,6
13907,U14-007,2022AR14B,Valide,novote,1,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,6
13909,U14-021,2022AR14A,Valide,novote,1,novote,1,1,novote,novote,novote,novote,1,4,4,0,0,0,6
13914,U14-007,2022AR14B,Valide,1,1,1,1,1,1,1,novote,1,1,9,9,0,0,0,1
13925,U14-021,2022AR14A,Nul,4,1,3,novote,1,1,2,1 3,1,2,8,4,2,1,1,1
13934,U14-007,2022AR14B,Valide,4,4,1,novote,2,3,4,2,1,2,9,2,3,1,3,1
13966,U14-019,2022AR14B,Valide,novote,novote,1,1,2,2,novote,novote,novote,novote,4,2,2,0,0,6
13971,U14-021,2022AR14A,Valide,4,4,1,1,1,1,1,4,4,2,10,5,1,0,4,0
