ID,Urne,QR-Code,Categorie,1 - Amenager et equiper les residences sociales,2 - Equiper les associations d alimentation durable,3 - Restaurer la Maison de l Air pour les habitantes et habitants !,4 - Securiser la voirie et apaiser la circulation,5 - Amenager des espaces publics verdoyants pour le 20e,6 - Embellir nos parcs et jardins,7 - Des projets educatifs pour le 20e,8 - Des projets pour la jeunesse du 20e,9 - Renovations energetiques pour les ecoles de la rue Le Vau et la creche collective 8 rue des Lyanes,10 - Embellir le 20e avec des fresques et de la vegetalisation,11 - Poursuivre la restauration de La Fleche d Or : un projet sur les rails !,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
33452,U20-024,2022AR20A,Valide,3,4,3,3,3,novote,4,4,2,3,1,10,1,1,5,3,1
33455,U20-099,2022AR20A,Valide,novote,2,3,4,novote,2,novote,2,4,2,1,8,1,4,1,2,3
33456,U20-023,2022AR20B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,11
33480,U20-023,2022AR20A,Valide,2,1,2,1,1,1,1,1,2,1,2,11,7,4,0,0,0
33483,U20-005,2022AR20A,Valide,1,1,1,4,1,1,1,1,4,2,4,11,7,1,0,3,0
33494,U20-005,2022AR20B,Valide,2,2,3,2,1,1,2,2,2,1,2,11,3,7,1,0,0
33500,U20-023,2022AR20A,Valide,1,1,1,2,1,1,1,1,1,1,1,11,10,1,0,0,0
33502,U20-099,2022AR20A,Valide,3,3,2,2,2,2,2,2,2,2,3,11,0,8,3,0,0
33504,U20-024,2022AR20B,Nul,novote,novote,novote,novote,novote,1,1,novote,novote,novote,novote,2,2,0,0,0,9
33517,U20-018,2022AR20A,Valide,novote,novote,novote,2,2,2,novote,novote,novote,novote,2,4,0,4,0,0,7
33521,U20-010,2022AR20B,Valide,novote,novote,novote,novote,3,3,novote,2,3,2,novote,5,0,2,3,0,6
33522,U20-099,2022AR20A,Valide,1,1,1,1,1,1,1,1,1,1,1,11,11,0,0,0,0
