ID,Urne,QR-Code,Categorie,1 - Moderniser les salles d escrime du gymnase Buffault,2 - Reinventer la maison pour tous YMCA de la rue de Trevise,3 - Installer des radars pedagogiques,4 - Diversifier les commerces dans le quartier Pigalle,5 - Ameliorer le confort des usagers du Conservatoire Boulanger,6 - Creer un parcours patrimonial grace a des QR codes,7 - Restaurer les publicites peintes de la rue des Martyrs,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
2758,U09-004,2022AR09B,Valide,3,3,novote,1,novote,novote,1,4,2,0,2,0,3
2762,U09-004,2022AR09B,Valide,1,4,1,novote,2,4,2,6,2,2,0,2,1
2765,U09-004,2022AR09B,Valide,2,3,3,1,3,2,1,7,2,2,3,0,0
2767,U09-004,2022AR09B,Valide,1,1,1,1,1,3,1,7,6,0,1,0,0
2769,U09-004,2022AR09B,Valide,1,1,1,1,1,1,2,7,6,1,0,0,0
2772,U09-004,2022AR09B,Valide,novote,1,2,novote,novote,2,1,4,2,2,0,0,3
2774,U09-004,2022AR09B,Valide,1,1,2,2,1,3,1,7,4,2,1,0,0
2778,U09-004,2022AR09B,Valide,3,2,2,2,1,novote,2,6,1,4,1,0,1
2779,U09-004,2022AR09B,Valide,1,1,1,novote,1,4,1,6,5,0,0,1,1
2782,U09-004,2022AR09B,Valide,3,2,1,1,2,1,2,7,3,3,1,0,0
2783,U09-004,2022AR09B,Valide,novote,2,1,novote,novote,2,2,4,1,3,0,0,3
2784,U09-004,2022AR09B,Valide,3,3,1,novote,3,4,3,6,1,0,4,1,1
2785,U09-004,2022AR09B,Valide,novote,novote,1,1,novote,2,1,4,3,1,0,0,3
2787,U09-004,2022AR09B,Valide,1,1,4,1,1,4,3,7,4,0,1,2,0
2788,U09-004,2022AR09B,Valide,3,1,1,1,1,2,2,7,4,2,1,0,0
2790,U09-004,2022AR09B,Valide,2,2,1,1,3,2,2,7,2,4,1,0,0
2791,U09-004,2022AR09B,Valide,3,2,4,3,1,4,2,7,1,2,2,2,0
2792,U09-004,2022AR09B,Valide,1,3,2,1,3,2,1,7,3,2,2,0,0
2793,U09-004,2022AR09B,Valide,novote,1,1,1,1,2,1,6,5,1,0,0,1
2796,U09-004,2022AR09B,Valide,2,2,4,2,2,4,1,7,1,4,0,2,0
2803,U09-004,2022AR09B,Valide,3,3,3,1,3,3,2,7,1,1,5,0,0
2805,U09-004,2022AR09B,Valide,3,1,2,4,3,4,2,7,1,2,2,2,0
2806,U09-004,2022AR09B,Valide,3,2,3,2,3,3,1,7,1,2,4,0,0
2807,U09-004,2022AR09B,Valide,novote,novote,novote,1,1,3,3,4,2,0,2,0,3
2808,U09-004,2022AR09B,Valide,2,2,4,2,novote,1,2,6,1,4,0,1,1
2809,U09-004,2022AR09B,Valide,novote,1,3,1,novote,novote,2,4,2,1,1,0,3
2810,U09-004,2022AR09B,Valide,1,3,2,1,3,3,1,7,3,1,3,0,0
3880,U09-002,2022AR09A,Valide,1,1,novote,1,1,novote,novote,4,4,0,0,0,3
3881,U09-002,2022AR09A,Nul,1,1 3,1,1,1,1,2,6,5,1,0,0,0
3883,U09-002,2022AR09A,Valide,2,2,1,2,2,2,2,7,1,6,0,0,0
3885,U09-002,2022AR09A,Valide,3,1,2,1,4,3,3,7,2,1,3,1,0
3886,U09-002,2022AR09A,Valide,novote,4,2,1,2,2,2,6,1,4,0,1,1
3890,U09-002,2022AR09A,Valide,3,1,1,2,1,4,3,7,3,1,2,1,0
3891,U09-002,2022AR09B,Nul,novote,novote,novote,novote,1,2,novote,2,1,1,0,0,5
3892,U09-002,2022AR09A,Valide,2,novote,1,2,novote,1,1,5,3,2,0,0,2
3893,U09-002,2022AR09A,Blanc,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,7
3894,U09-002,2022AR09A,Valide,2,3,4,2,1,4,2,7,1,3,1,2,0
3895,U09-002,2022AR09A,Valide,novote,1,2,1,novote,1,novote,4,3,1,0,0,3
3902,U09-002,2022AR09A,Valide,novote,1,1,1,1,novote,novote,4,4,0,0,0,3
3903,U09-002,2022AR09A,Valide,3,2,1,3,1,2,2,7,2,3,2,0,0
3904,U09-002,2022AR09A,Valide,3,4,3,4,2,2,1,7,1,2,2,2,0
