ID,Urne,QR-Code,Categorie,"1 - Velo, velo, velo !",2 - Ameliorer les terrains sportifs du 17eme !,3 - Creation d un espace de glisse urbaine,4 - Des equipements sportifs moins energivores et mieux securises !,5 - Des equipements sportifs plus inclusifs,6 - Du tennis et du padel !,7 - Renover les gymnases du 17eme !,8 - Des locaux equipes pour un quartier plus solidaire,9 - Securiser les carrefours dangereux et les abords des ecoles,10 - Vers plus de vert dans le 17eme !,11 - Renover l ecole Bessieres aux Epinettes,12 - Renovons les ecoles du 17eme !,13 - Renover les marches couverts du 17eme,14 - Super ! La ressourcerie des familles,15 - De l art hors les murs !,16 - Patrimoine et memoire : restaurer et valoriser le 17eme !,17 - Reamenager la place des Ternes !,18 - Refection des chaussees boulevard des Batignolles,19 - Refection des trottoirs avenues de Clichy et St-Ouen,20 - Renovation de la rue de Rome et du boulevard Pereire,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
76356,U75-002,2022AR17A,Nul,1,2,1 2,3,1,3,2,1,2,1,3,3,1,3,1,4,1,3,1,4,19,8,3,6,2,0
78075,U75-002,2022AR17A,Valide,1,2,2,2,novote,3,1,novote,2,1,2,2,1,2,1,1,1,2,2,2,18,7,10,1,0,2
82921,U17-007,2022AR17B,Valide,2,2,4,2,2,1,1,3,1,1,3,2,1,1,4,1,1,2,2,2,20,8,8,2,2,0
82938,U17-007,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,novote,2,novote,novote,2,novote,1,novote,novote,novote,novote,novote,2,4,1,3,0,0,16
82977,U17-007,2022AR17B,Valide,novote,novote,novote,novote,novote,novote,novote,3,2,1,3,3,2,1,2,2,3,3,3,3,13,2,4,7,0,7
82989,U17-007,2022AR17B,Valide,1,4,novote,novote,novote,novote,novote,novote,novote,2,novote,3,novote,novote,novote,novote,novote,novote,novote,novote,4,1,1,1,1,16
83007,U17-007,2022AR17B,Valide,1,3,3,3,3,3,3,3,3,1,3,3,3,2,2,3,3,3,1,3,20,3,2,15,0,0
83057,U17-007,2022AR17B,Valide,1,novote,novote,novote,novote,1,novote,novote,2,1,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,5,4,1,0,0,15
83081,U17-007,2022AR17B,Valide,2,2,3,1,1,3,3,1,2,1,2,3,2,1,1,2,2,3,2,3,20,6,8,6,0,0
83098,U17-007,2022AR17B,Valide,4,3,3,2,3,3,3,3,1,1,2,2,2,2,3,1,novote,3,3,3,19,3,5,10,1,1
83156,U17-007,2022AR17B,Valide,2,4,4,3,2,4,3,3,1,1,1,1,4,2,3,2,4,4,4,2,20,4,5,4,7,0
83161,U17-007,2022AR17B,Valide,novote,1,1,1,novote,novote,novote,novote,1,1,novote,1,1,novote,novote,novote,novote,novote,1,novote,8,8,0,0,0,12
83197,U17-007,2022AR17B,Valide,1,3,2,1,3,1,2,2,3,2,1,2,3,2,2,1,3,3,3,3,20,5,7,8,0,0
83221,U17-007,2022AR17B,Valide,2,3,2,1,2,4,3,1,3,1,3,1,2,1,1,2,3,3,2,3,20,6,6,7,1,0
83249,U17-007,2022AR17B,Valide,1,novote,novote,novote,novote,novote,1,novote,novote,1,1,1,novote,1,novote,novote,novote,novote,novote,novote,6,6,0,0,0,14
