ID,Urne,QR-Code,Categorie,1 - Des stationnements pour les velos,2 - Renovation espace de glisse JEMMAPES,3 - Un terrain couvert pour les sportifs du 10eme,4 - Aider les sans-abris et lutter contre la precarite menstruelle,5 - Agrandir le jardin du Chalet et favoriser la biodiversite,6 - Des cours d ecoles et de colleges vegetalisees et Oasis,7 - Les ecoliers du 10e pionniers de l egalite numerique,8 - Un eco-lieu pour le 10e,9 - Rendre son lustre a la maison des habitant.e.s du 10e !,10 - Restauration de la Chapelle de la Vierge,11 - Restauration des decors de l eglise Saint-Martin-des-Champs,12 - Restaurer les grilles de l eglise Saint-Vincent-de-Paul,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
96858,U10-006,2022AR10A,Valide,2,3,1,1,1,2,2,2,2,2,2,2,12,3,8,1,0,0
96879,U10-006,2022AR10A,Nul,2,4,3,3,3,3,3,1 2 4,3,3,3,3,11,0,1,9,1,0
97273,U10-006,2022AR10A,Valide,1,1,1,1,1,1,1,1,1,1,1,1,12,12,0,0,0,0
97447,U10-006,2022AR10A,Nul,2,novote,novote,1,novote,novote,novote,1,novote,novote,novote,novote,3,2,1,0,0,9
97473,U10-009,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
97616,U10-006,2022AR10A,Valide,3,3,4,1,4,2,2,3,4,2,3,4,12,1,3,4,4,0
97755,U10-007,2022AR10A,Valide,2,novote,novote,novote,2,2,4,novote,2,1,1,1,8,3,4,0,1,4
97932,U10-007,2022AR10A,Valide,3,3,3,1,3,3,2,3,2,2,2,2,12,1,5,6,0,0
98154,U10-007,2022AR10A,Valide,3,2,1,1,3,2,1,2,2,2,2,2,12,3,7,2,0,0
98165,U10-007,2022AR10A,Valide,1,3,3,1,1,1,1,1,3,3,2,3,12,6,1,5,0,0
98261,U10-006,2022AR10A,Valide,2,3,3,1,1,1,2,2,3,3,3,3,12,3,3,6,0,0
98285,U10-006,2022AR10A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
98312,U10-007,2022AR10A,Valide,4,2,1,4,2,4,novote,novote,1,1,1,1,10,5,2,0,3,2
98429,U10-007,2022AR10A,Nul,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,11
98437,U10-006,2022AR10A,Valide,1,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
98441,U10-007,2022AR10A,Valide,3,2,2,1,3,2,2,2,4,2,3,4,12,1,6,3,2,0
98470,U10-006,2022AR10A,Valide,3,novote,novote,1,2,novote,2,2,2,2,2,2,9,1,7,1,0,3
98610,U10-007,2022AR10A,Valide,1,2,2,1,3,2,2,1,3,3,3,3,12,3,4,5,0,0
98766,U10-007,2022AR10A,Valide,1,2,1,2,2,1,3,1,1,2,2,2,12,5,6,1,0,0
98797,U10-004,2022AR10A,Valide,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,novote,4,3,0,0,1,8
98878,U10-007,2022AR10A,Valide,1,4,2,2,2,1,1,2,2,1,1,1,12,6,5,0,1,0
98942,U10-009,2022AR10A,Valide,novote,1,1,1,novote,1,1,novote,novote,novote,novote,novote,5,5,0,0,0,7
99090,U10-007,2022AR10A,Nul,1,1 3,3,1,1,1,3,1,3,3,3,3,11,5,0,6,0,0
99162,U10-006,2022AR10A,Valide,novote,novote,novote,1,novote,1,1,1,novote,novote,novote,novote,4,4,0,0,0,8
99176,U10-007,2022AR10A,Nul,novote,novote,novote,novote,novote,novote,1,novote,novote,1,novote,1,3,3,0,0,0,9
99294,U10-007,2022AR10A,Valide,2,novote,1,novote,1,novote,novote,1,novote,2,2,novote,6,3,3,0,0,6
99374,U10-011,2022AR10A,Valide,2,3,2,1,2,2,1,1,2,3,3,3,12,3,5,4,0,0
99428,U10-011,2022AR10A,Valide,2,1,1,1,2,3,novote,novote,4,4,3,3,10,3,2,3,2,2
99456,U10-011,2022AR10A,Valide,2,3,1,1,2,1,1,2,2,3,2,1,12,5,5,2,0,0
99460,U10-006,2022AR10A,Valide,2,4,4,1,2,2,2,2,3,4,4,4,12,1,5,1,5,0
99471,U10-006,2022AR10A,Nul,2,3,2,1,1,1,2,1,3,2,2 3,2 3,10,4,4,2,0,0
99483,U10-011,2022AR10A,Valide,novote,1,novote,1,novote,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,8
99493,U10-011,2022AR10A,Valide,novote,novote,1,1,1,novote,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
99500,U10-007,2022AR10A,Valide,4,novote,novote,1,novote,novote,1,1,4,novote,novote,novote,5,3,0,0,2,7
99615,U10-011,2022AR10A,Valide,1,2,1,1,1,1,1,3,3,3,3,2,12,6,2,4,0,0
99684,U10-006,2022AR10A,Valide,2,3,3,2,1,1,2,1,1,3,3,3,12,4,3,5,0,0
99687,U10-011,2022AR10A,Valide,1,novote,1,1,1,1,1,novote,novote,novote,novote,novote,6,6,0,0,0,6
99722,U10-007,2022AR10A,Valide,novote,1,1,1,2,novote,novote,novote,novote,novote,novote,novote,4,3,1,0,0,8
99830,U10-009,2022AR10A,Valide,1,novote,novote,novote,1,1,1,novote,novote,novote,1,novote,5,5,0,0,0,7
99919,U10-006,2022AR10A,Valide,novote,novote,1,1,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,8
99956,U10-011,2022AR10A,Valide,1,novote,novote,1,novote,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
99992,U10-007,2022AR10A,Valide,2,2,1,novote,2,2,novote,novote,2,2,novote,novote,7,1,6,0,0,5
100006,U10-007,2022AR10A,Valide,3,3,3,1,2,3,2,3,3,3,3,3,12,1,2,9,0,0
100141,U75-001,2022AR10A,Valide,2,2,3,2,2,3,1,2,2,3,3,3,12,1,6,5,0,0
100177,U10-011,2022AR10A,Valide,4,3,3,4,3,1,3,2,2,3,3,3,12,1,2,7,2,0
100261,U10-008,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
100287,U10-006,2022AR10A,Valide,1,1,2,2,novote,2,novote,2,3,3,novote,novote,8,2,4,2,0,4
100320,U10-008,2022AR10A,Valide,novote,novote,novote,1,1,novote,1,1,novote,novote,novote,novote,4,4,0,0,0,8
100411,U10-011,2022AR10A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
100489,U10-008,2022AR10A,Valide,novote,1,1,novote,novote,2,2,novote,novote,novote,novote,novote,4,2,2,0,0,8
100608,U10-007,2022AR10A,Valide,3,3,2,2,2,2,2,1,2,1,1,1,12,4,6,2,0,0
100621,U10-011,2022AR10A,Valide,novote,1,novote,novote,1,novote,1,novote,1,novote,novote,novote,4,4,0,0,0,8
100646,U10-008,2022AR10A,Valide,2,1,1,1,3,1,2,1,3,3,3,3,12,5,2,5,0,0
100677,U10-006,2022AR10A,Valide,2,2,2,1,1,1,2,1,3,4,3,3,12,4,4,3,1,0
100717,U10-006,2022AR10A,Valide,1,novote,novote,1,novote,1,novote,1,novote,novote,novote,novote,4,4,0,0,0,8
100727,U10-011,2022AR10A,Valide,1,novote,novote,1,1,novote,novote,1,novote,novote,novote,novote,4,4,0,0,0,8
100768,U10-007,2022AR10A,Valide,2,1,1,1,1,1,1,1,2,4,4,3,12,7,2,1,2,0
100804,U10-008,2022AR10A,Valide,novote,4,3,1,novote,2,novote,novote,novote,novote,novote,novote,4,1,1,1,1,8
