ID,Urne,QR-Code,Categorie,1 - Ameliorer les equipements sportifs du 11e pour en developper l usage,2 - Innover au service de toutes et tous dans le 11e,3 - Rendre le 11e encore plus vert,4 - Amenager et equiper les ecoles du 11e,5 - Creer une cour Oasis pour les ecoles Belleville et Presentation,6 - Equiper les colleges du 11e pour developper les apprentissages,"7 - Embellir l eglise Saint-Ambroise, patrimoine du 11e",8 - Embellir le 11e grace a des œuvres sur les murs,9 - Favoriser la vie culturelle du quartier Belleville Saint-Maur,10 - Apaiser la circulation et partager l espace public du 11e,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
134613,U11-002,2022AR11B,Valide,novote,novote,novote,novote,3,novote,1,3,novote,1,4,2,0,2,0,6
134620,U11-010,2022AR11A,Valide,1,4,1,1,1,1,4,novote,3,1,9,6,0,1,2,1
134737,U11-002,2022AR11B,Valide,1,1,1,1,2,2,4,3,1,1,10,6,2,1,1,0
134809,U11-002,2022AR11B,Valide,1,4,2,1,2,1,3,2,1,2,10,4,4,1,1,0
134810,U11-010,2022AR11A,Valide,3,2,1,2,4,4,3,4,1,2,10,2,3,2,3,0
135075,U11-002,2022AR11B,Valide,1,1,1,1,1,3,1,1,1,1,10,9,0,1,0,0
135099,U11-010,2022AR11B,Valide,3,1,1,1,1,1,1,1,1,1,10,9,0,1,0,0
135109,U11-002,2022AR11B,Valide,novote,novote,1,novote,novote,1,novote,1,novote,1,4,4,0,0,0,6
135232,U11-010,2022AR11A,Valide,3,1,1,1,3,1,4,2,3,4,10,4,1,3,2,0
135663,U75-001,2022AR11A,Valide,3,2,1,2,3,2,4,3,3,2,10,1,4,4,1,0
135693,U11-010,2022AR11B,Valide,3,3,1,2,2,1,4,4,1,3,10,3,2,3,2,0
135716,U11-002,2022AR11B,Valide,1,2,1,1,2,1,2,1,1,2,10,6,4,0,0,0
136035,U11-002,2022AR11B,Valide,2,3,2,novote,novote,novote,novote,novote,3,novote,4,0,2,2,0,6
136073,U11-002,2022AR11B,Valide,1,1,1,1,1,1,4,4,1,1,10,8,0,0,2,0
136100,U11-010,2022AR11B,Valide,2,3,1,1,2,1,1,1,1,2,10,6,3,1,0,0
136115,U11-002,2022AR11B,Valide,3,3,3,3,2,1,4,4,2,2,10,1,3,4,2,0
