ID,Urne,QR-Code,Categorie,1 - Developper les stationnements velos dans le 19e,2 - Faciliter les deplacements des pietons et des cyclistes,3 - Marcher et pedaler en toute securite,4 - Destination 2024 : le 19e a l heure du sport,5 - Modernisons nos equipements pour faire du sport ensemble,6 - Faire vivre l inclusion dans le 19e,7 - Soutenons le dynamisme associatif et solidaire de nos quartiers,8 - Rafraichir la ville et promouvoir la biodiversite,"9 - Cours vegetalisees, musique et lecture pour mieux vivre a l ecole",10 - Plus belles nos ecoles : de la nature et du ciel bleu,"11 - Art, patrimoine et couleur : le 19e plus culturel",12 - Embellir et illuminer les rues et jardins de nos quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
191506,U19-035,2022AR19B,Valide,novote,novote,1,novote,novote,novote,novote,novote,1,1,2,1,5,4,1,0,0,7
191522,U19-032,2022AR19B,Valide,4,novote,1,2,1,novote,novote,novote,novote,novote,novote,novote,4,2,1,0,1,8
191525,U19-032,2022AR19B,Valide,4,novote,2,2,2,novote,novote,novote,novote,novote,novote,novote,4,0,3,0,1,8
191532,U19-032,2022AR19B,Valide,4,novote,2,novote,novote,novote,novote,novote,novote,2,3,novote,4,0,2,1,1,8
191546,U19-032,2022AR19A,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,2,2,0,0,0,10
191552,U19-032,2022AR19B,Valide,4,novote,novote,novote,novote,novote,novote,novote,3,2,3,novote,4,0,1,2,1,8
191554,U19-032,2022AR19B,Valide,4,novote,novote,2,novote,novote,novote,novote,novote,3,2,novote,4,0,2,1,1,8
191563,U19-032,2022AR19A,Nul,novote,novote,novote,1,1,novote,novote,novote,novote,novote,1,novote,3,3,0,0,0,9
191581,U19-007,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191585,U19-043,2022AR19B,Valide,1,1,novote,novote,novote,1,novote,novote,2,2,1,novote,6,4,2,0,0,6
191589,U19-041,2022AR19B,Valide,novote,novote,novote,novote,novote,1,1,1,1,1,novote,novote,5,5,0,0,0,7
191590,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191591,U19-019,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191604,U19-032,2022AR19B,Valide,4,2,2,novote,1,novote,novote,novote,novote,novote,novote,novote,4,1,2,0,1,8
191610,U19-007,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191611,U19-007,2022AR19B,Valide,novote,novote,novote,1,1,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,8
191617,U19-036,2022AR19B,Valide,1,1,1,2,2,1,1,1,1,1,2,1,12,9,3,0,0,0
191623,U19-036,2022AR19A,Valide,1,1,1,2,2,2,1,2,2,2,2,3,12,4,7,1,0,0
191631,U19-019,2022AR19A,Valide,2,2,1,1,1,1,1,1,1,1,2,1,12,9,3,0,0,0
191638,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,1,novote,novote,novote,novote,1,novote,4,4,0,0,0,8
191639,U19-041,2022AR19A,Valide,novote,novote,novote,1,2,novote,novote,2,1,1,novote,novote,5,3,2,0,0,7
191641,U19-032,2022AR19A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
191646,U19-019,2022AR19A,Valide,4,3,4,1,1,2,2,novote,novote,novote,novote,novote,7,2,2,1,2,5
191658,U19-007,2022AR19A,Valide,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,novote,4,4,0,0,0,8
191660,U19-041,2022AR19A,Valide,novote,novote,novote,novote,novote,novote,novote,2,1,1,1,novote,4,3,1,0,0,8
191664,U75-001,2022AR19A,Valide,1,1,1,1,1,2,2,1,1,2,1,1,12,9,3,0,0,0
191665,U19-032,2022AR19A,Valide,novote,novote,novote,1,1,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,8
191674,U19-032,2022AR19A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,12
