ID,Urne,QR-Code,Categorie,1 - Installer du mobilier urbain sur les berges pour les sports de glisse,2 - Rendre l eglise St-Germain l Auxerrois accessible au PMR,3 - Poursuivre la refection des chaussees des Grands Boulevards,4 - Ameliorer le confort et l amenagement d etablissements scolaires,5 - Completer la renovation des arcades de la rue de Rivoli,6 - Ravaler la facade de l eglise St-Nicolas-des-Champs,7 - Rénover le petit tunnel de l ecluse du bassin de l Arsenal,8 - Restaurer la facade et les candelabres de l eglise des Blancs-Manteaux,9 - Restaurer le patrimoine de 3 eglises de Paris Centre,10 - Restaurer le toit et les decors de l eglise Ste-Elisabeth de Hongrie,11 - Restaurer les chapelles de l eglise St-Germain-l Auxerrois,12 - Restaurer les fontaines du Theatre Francais,13 - Restaurer les peintures de 2 eglises et tracer le chemin de Compostelle,14 - Remplacer et renover les bancs de Paris Centre,15 - Renover les reverberes du Louvre,16 - Vegetaliser temporairement la rue Greneta,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
115548,U75-001,2022AR01A,Valide,3,2,1,2,1,2,2,3,3,2,2,1,2,1,1,1,16,6,7,3,0,0
115559,U01-012,2022AR01A,Valide,novote,novote,2,2,novote,novote,novote,novote,novote,2,2,2,2,novote,novote,novote,6,0,6,0,0,10
115567,U01-006,2022AR01B,Valide,3,1,2,1,2,1,2,1,1,1,1,2,1,1,2,2,16,9,6,1,0,0
115569,U01-003,2022AR01A,Valide,2,novote,novote,2,1,novote,novote,novote,novote,novote,novote,2,2,novote,novote,4,6,1,4,0,1,10
115585,U01-003,2022AR01A,Valide,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,4,4,0,0,0,12
115601,U01-003,2022AR01A,Nul,3,2,2,1,2,3,2,3,3 4,3,3,3,3,3,2 4,1,14,2,4,8,0,0
115619,U01-003,2022AR01B,Valide,1,2,novote,novote,1,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,4,3,1,0,0,12
115628,U01-012,2022AR01A,Valide,2,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,2,novote,4,1,3,0,0,12
115648,U01-003,2022AR01A,Valide,novote,novote,novote,1,1,novote,novote,novote,2,novote,novote,novote,novote,novote,1,novote,4,3,1,0,0,12
115671,U01-002,2022AR01B,Valide,4,3,2,2,3,2,2,1,2,2,4,3,3,1,3,4,16,2,6,5,3,0
115685,U01-006,2022AR01B,Valide,1,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,novote,4,novote,4,novote,4,2,0,0,2,12
115709,U01-011,2022AR01A,Valide,3,2,1,1,1,2,4,2,2,2,2,1,2,1,3,1,16,6,7,2,1,0
115730,U01-012,2022AR01A,Valide,2,1,1,1,2,3,1,3,2,3,1,2,2,2,1,2,16,6,7,3,0,0
115731,U01-003,2022AR01A,Valide,1,novote,1,1,novote,novote,1,novote,novote,novote,novote,novote,novote,1,novote,novote,5,5,0,0,0,11
115746,U01-011,2022AR01A,Valide,2,3,1,1,1,2,1,3,3,1,3,1,1,2,1,1,16,9,3,4,0,0
115762,U01-003,2022AR01B,Valide,novote,1,novote,novote,novote,1,novote,1,1,1,1,1,1,1,1,novote,10,10,0,0,0,6
115794,U01-012,2022AR01A,Valide,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,2,16,4,12,0,0,0
115816,U01-003,2022AR01B,Valide,1,1,2,1,2,2,2,3,3,3,2,2,2,2,2,1,16,4,9,3,0,0
115828,U01-012,2022AR01A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,2,4,novote,novote,novote,novote,novote,2,0,1,0,1,14
115834,U01-003,2022AR01A,Valide,novote,novote,novote,novote,novote,novote,novote,novote,1,1,1,1,novote,novote,novote,novote,4,4,0,0,0,12
115836,U01-011,2022AR01A,Valide,1,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,novote,4,4,0,0,0,12
115854,U01-012,2022AR01A,Valide,novote,1,novote,1,4,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,5,4,0,0,1,11
115856,U01-003,2022AR01A,Valide,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,1,1,novote,novote,4,4,0,0,0,12
115869,U01-003,2022AR01A,Valide,1,novote,2,novote,novote,novote,novote,novote,1,2,novote,novote,novote,novote,novote,novote,4,2,2,0,0,12
115870,U01-012,2022AR01A,Valide,novote,novote,1,1,novote,novote,novote,1,1,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,12
115871,U01-006,2022AR01B,Valide,novote,novote,1,novote,1,novote,novote,novote,novote,1,novote,novote,1,1,novote,novote,5,5,0,0,0,11
