ID,Urne,QR-Code,Categorie,1 - Favoriser le lien social et les pratiques artistiques et sportives,2 - Kits pedagogiques pour parler aux enfants des personnes SDF,3 - Lutter contre les inegalites d acces,4 - Securiser et amenager pour favoriser les mobilites douces,5 - Vegetaliser l arrondissement et amenager les parcs et jardins,6 - Doter les ecoles du 18e de davantage d outils numeriques,7 - Creer une ecole des metiers du velo du Grand Paris,8 - Mettre en lumiere les monuments de Chapelle Marx Dormoy,9 - Mettre en valeur l histoire du quartier La Chapelle,10 - Restaurer la fleche de l eglise St-Bernard,11 - Restaurer le patrimoine cultuel,12 - Mettre de la couleur sur les murs,13 - Vegetaliser et ameliorer les lieux publics dans les quartiers,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
141841,U18-001,2022AR18B,Valide,2,novote,1,novote,2,novote,novote,novote,4,novote,novote,novote,novote,4,1,2,0,1,9
141849,U18-003,2022AR18A,Valide,3,2,2,2,2,3,4,1,1,1,2,3,3,13,3,5,4,1,0
141851,U18-005,2022AR18A,Valide,novote,novote,1,novote,1,1,novote,novote,novote,novote,novote,novote,1,4,4,0,0,0,9
141871,U18-005,2022AR18A,Nul,2,1 2,1 2,2,2,1 2,novote,novote,novote,novote,novote,2,2,5,0,5,0,0,5
141913,U18-005,2022AR18A,Valide,1,2,novote,1,2,novote,1,novote,novote,novote,novote,3,novote,6,3,2,1,0,7
141917,U18-012,2022AR18B,Valide,1,3,1,2,2,1,2,3,2,2,1,novote,1,12,5,5,2,0,1
141965,U18-011,2022AR18B,Nul,novote,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,12
141972,U18-005,2022AR18A,Valide,1,1,1,2,novote,novote,novote,novote,novote,novote,novote,4,4,6,3,1,0,2,7
141985,U18-012,2022AR18B,Valide,2,1,1,1,1,1,3,2,2,2,1,2,1,13,7,5,1,0,0
141995,U18-003,2022AR18A,Valide,1,2,1,1,1,2,3,4,1,1,1,1,1,13,9,2,1,1,0
142005,U18-012,2022AR18B,Valide,2,novote,2,2,1,2,1,novote,novote,novote,novote,2,1,8,3,5,0,0,5
142010,U18-011,2022AR18B,Valide,1,2,2,2,1,3,2,3,3,3,1,3,1,13,4,4,5,0,0
142030,U18-011,2022AR18B,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,13
142033,U18-003,2022AR18A,Valide,1,2,1,2,1,1,3,2,1,2,1,1,1,13,8,4,1,0,0
142035,U18-001,2022AR18B,Valide,1,novote,novote,1,1,novote,1,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
142048,U18-012,2022AR18B,Valide,1,2,2,2,3,4,1,4,2,1,1,4,3,13,4,4,2,3,0
142051,U18-003,2022AR18A,Valide,1,1,1,3,1,1,3,4,3,novote,3,2,2,12,5,2,4,1,1
142053,U18-011,2022AR18B,Valide,1,1,1,1,1,1,1,2,2,2,1,1,1,13,10,3,0,0,0
142073,U18-005,2022AR18A,Valide,1,novote,1,1,1,novote,novote,novote,novote,novote,novote,novote,novote,4,4,0,0,0,9
142074,U18-003,2022AR18A,Valide,novote,2,novote,novote,2,novote,2,2,novote,novote,novote,novote,novote,4,0,4,0,0,9
142077,U18-011,2022AR18B,Valide,1,1,1,1,1,4,1,3,3,3,2,3,1,13,7,1,4,1,0
142078,U18-001,2022AR18B,Valide,2,1,1,1,1,1,1,4,4,4,4,3,1,13,7,1,1,4,0
