ID,Urne,QR-Code,Categorie,1 - Bagagerie solidaire dans le 6e arrondissement,2 - Installation de brumisateurs urbains,3 - Ouverture d un Jardin Partage - Rue du Cherche-Midi,4 - Revelation d un petit jardin - Angle Littre-Vaugirard,5 - Des videoprojecteurs interactifs pour les ecoles du 6e,6 - Dotation aux ecoles de solution de fraicheur,7 - Les jardiniers du Jardinet,8 - Creer un espace scenique ouvert a tous publics et styles,9 - Restaurer le patrimoine cultuel et culturel du 6e arrondissement,10 - Un parc d exercice et de detente canin,Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
349,U06-002,2022AR06B,Valide,novote,3,novote,2,novote,novote,3,novote,1,novote,4,1,1,2,0,6
363,U06-002,2022AR06B,Valide,novote,1,1,novote,novote,novote,1,novote,2,novote,4,3,1,0,0,6
364,U06-002,2022AR06B,Valide,2,1,novote,1,novote,1,novote,novote,novote,novote,4,3,1,0,0,6
371,U06-002,2022AR06B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,9
373,U06-002,2022AR06A,Valide,2,3,2,novote,novote,novote,2,4,1,4,7,1,3,1,2,3
374,U06-002,2022AR06B,Valide,novote,novote,1,1,novote,novote,1,novote,2,novote,4,3,1,0,0,6
378,U06-002,2022AR06B,Valide,3,novote,1,novote,novote,novote,novote,novote,1,3,4,2,0,2,0,6
381,U06-002,2022AR06A,Valide,1,3,novote,2,2,2,2,2,3,2,9,1,6,2,0,1
382,U06-002,2022AR06B,Valide,3,4,4,4,3,3,3,4,1,4,10,1,0,4,5,0
388,U06-002,2022AR06B,Nul,novote,novote,novote,novote,1,novote,novote,novote,novote,novote,1,1,0,0,0,9
389,U06-002,2022AR06A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
391,U06-002,2022AR06B,Valide,1,3,novote,1,novote,novote,novote,novote,1,2,5,3,1,1,0,5
397,U06-002,2022AR06B,Valide,3,4,1,1,4,2,1,1,1,4,10,5,1,1,3,0
410,U06-002,2022AR06B,Blanc,novote,1,1,1 2,novote,novote,2,novote,1,1,5,4,1,0,0,4
416,U06-002,2022AR06B,Valide,novote,novote,1,1,1,1,novote,novote,novote,novote,4,4,0,0,0,6
420,U06-002,2022AR06B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
421,U06-002,2022AR06A,Valide,1,novote,3,1,1,novote,3,novote,novote,novote,5,3,0,2,0,5
425,U06-002,2022AR06A,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
426,U06-002,2022AR06A,Nul,novote,novote,novote,novote,novote,novote,1,novote,1,novote,2,2,0,0,0,8
427,U06-002,2022AR06B,Valide,2,4,3,3,3,3,2,2,1,3,10,1,3,5,1,0
429,U06-002,2022AR06B,Valide,novote,novote,novote,2,novote,novote,2,2,1,novote,4,1,3,0,0,6
431,U06-002,2022AR06B,Valide,1,4,4,4,4,4,4,4,1,4,10,2,0,0,8,0
433,U06-002,2022AR06A,Valide,novote,novote,2,novote,1,2,2,novote,novote,novote,4,1,3,0,0,6
436,U06-002,2022AR06B,Valide,novote,novote,novote,novote,1,novote,1,1,novote,1,4,4,0,0,0,6
443,U06-002,2022AR06A,Valide,3,3,novote,novote,novote,2,novote,novote,1,novote,4,1,1,2,0,6
444,U06-002,2022AR06B,Valide,2,3,4,3,2,2,3,1,3,3,10,1,3,5,1,0
447,U06-002,2022AR06B,Valide,1,novote,1,2,2,3,2,2,1,4,9,3,4,1,1,1
451,U06-002,2022AR06B,Valide,novote,novote,novote,novote,2,1,3,novote,2,novote,4,1,2,1,0,6
452,U06-002,2022AR06A,Valide,4,4,4,3,4,3,4,3,1,3,10,1,0,4,5,0
457,U06-002,2022AR06B,Valide,2,novote,novote,novote,3,3,novote,novote,1,novote,4,1,1,2,0,6
464,U06-002,2022AR06A,Valide,2,novote,novote,2,4,novote,2,1,novote,4,6,1,3,0,2,4
465,U06-002,2022AR06B,Valide,1,1,2,novote,novote,1,novote,novote,novote,2,5,3,2,0,0,5
467,U06-002,2022AR06B,Valide,novote,novote,1,1,novote,novote,novote,novote,1,3,4,3,0,1,0,6
470,U06-002,2022AR06B,Valide,novote,novote,3,novote,novote,2,novote,novote,1,4,4,1,1,1,1,6
473,U06-002,2022AR06A,Valide,3,4,2,2,3,4,2,novote,2,4,9,0,4,2,3,1
474,U06-002,2022AR06B,Valide,1,4,2,1,3,1,1,1,1,1,10,7,1,1,1,0
475,U06-002,2022AR06B,Nul,novote,novote,novote,novote,novote,1,novote,novote,1,4,3,2,0,0,1,7
477,U06-002,2022AR06A,Valide,novote,4,novote,novote,novote,4,novote,novote,1,3,4,1,0,1,2,6
479,U06-002,2022AR06A,Valide,3,4,2,2,4,2,2,4,novote,4,9,0,4,1,4,1
483,U06-002,2022AR06A,Valide,1,novote,1,novote,novote,1,novote,novote,1,novote,4,4,0,0,0,6
485,U06-002,2022AR06A,Valide,novote,1,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
486,U06-002,2022AR06A,Valide,1,novote,novote,1,novote,1,novote,novote,novote,1,4,4,0,0,0,6
487,U06-002,2022AR06A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
493,U06-002,2022AR06B,Valide,1,novote,novote,1,novote,2,novote,novote,1,novote,4,3,1,0,0,6
496,U06-002,2022AR06B,Valide,3,3,1,2,3,2,2,3,1,3,10,2,3,5,0,0
499,U06-002,2022AR06B,Valide,2,novote,novote,2,novote,novote,1,novote,novote,2,4,1,3,0,0,6
502,U06-002,2022AR06B,Valide,1,4,1,1,2,2,1,1,1,1,10,7,2,0,1,0
503,U06-002,2022AR06B,Valide,1,1,1,1,2,2,2,2,1,2,10,5,5,0,0,0
507,U06-002,2022AR06A,Valide,novote,novote,novote,novote,novote,1,1,1,1,1,5,5,0,0,0,5
510,U06-002,2022AR06A,Valide,1,novote,1,novote,2,novote,1,novote,novote,novote,4,3,1,0,0,6
513,U06-002,2022AR06B,Valide,2,1,1,3,4,1,1,2,1,2,10,5,3,1,1,0
516,U06-002,2022AR06B,Valide,novote,3,novote,2,novote,novote,novote,2,1,4,5,1,2,1,1,5
519,U06-002,2022AR06A,Valide,3,2,2,2,1,2,2,2,2,1,10,2,7,1,0,0
522,U06-002,2022AR06B,Valide,4,novote,2,1,novote,2,novote,novote,2,novote,5,1,3,0,1,5
524,U06-002,2022AR06A,Valide,2,novote,2,1,novote,novote,novote,novote,1,4,5,2,2,0,1,5
534,U06-002,2022AR06B,Valide,1,3,2,3,3,2,3,2,3,4,10,1,3,5,1,0
536,U06-002,2022AR06B,Valide,1,novote,novote,3,novote,novote,2,novote,1,novote,4,2,1,1,0,6
537,U06-002,2022AR06B,Valide,1,novote,1,novote,1,novote,novote,novote,1,novote,4,4,0,0,0,6
541,U06-002,2022AR06B,Valide,novote,4,novote,1,novote,novote,novote,novote,1,4,4,2,0,0,2,6
542,U06-002,2022AR06A,Valide,novote,novote,1,1,novote,1,1,novote,novote,novote,4,4,0,0,0,6
551,U06-002,2022AR06A,Valide,1,3,1,1,novote,novote,novote,novote,1,novote,5,4,0,1,0,5
552,U06-002,2022AR06A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
553,U06-002,2022AR06B,Valide,4,4,1,novote,novote,novote,novote,novote,novote,1,4,2,0,0,2,6
554,U06-002,2022AR06B,Nul,novote,novote,novote,novote,novote,novote,novote,novote,1,novote,1,1,0,0,0,9
562,U06-002,2022AR06B,Valide,4,4,1,1,novote,novote,novote,novote,novote,novote,4,2,0,0,2,6
567,U06-002,2022AR06B,Valide,1,novote,novote,novote,novote,novote,novote,1,1,4,4,3,0,0,1,6
569,U06-002,2022AR06B,Valide,novote,novote,novote,2,2,novote,novote,2,1,novote,4,1,3,0,0,6
