ID,Urne,QR-Code,Categorie,1 - La modernisation du centre sportif Georges Carpentier,2 - Une activite sportive pour toutes et tous !,3 - Maison des Associations et club-house : se retrouver et recevoir !,4 - Vos projets pour faire du partage une valeur commune !,5 - Ameliorer l acces aux outils numeriques dans les ecoles !,6 - Modernisation et renovation de vos Centres Paris Anim,7 - Vegetaliser et rafraichir les cours des ecoles et colleges,8 - Vos projets pour ameliorer le cadre de vie dans nos écoles !,9 - De la place pour les animaux au Parc de Choisy : plus de biodiversite,"10 - Vos micro-quartiers : fresques, jeux, jardins et accessibilite !",Nombre de mentions,Mention 1,Mention 2,Mention 3,Mention 4,Pas de Mention
20530,U13-051,2022AR13B,Valide,3,1,2,2,2,2,1,1,1,1,10,5,4,1,0,0
20579,U13-066,2022AR13A,Valide,3,1,3,3,2,2,1,1,3,1,10,4,2,4,0,0
20602,U13-081,2022AR13A,Valide,1,1,3,3,2,1,1,1,1,2,10,6,2,2,0,0
20615,U13-066,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,1,novote,novote,2,2,0,0,0,8
20631,U13-085,2022AR13A,Valide,novote,1,2,1,2,novote,1,1,1,1,8,6,2,0,0,2
20643,U13-032,2022AR13A,Valide,1,2,novote,novote,2,novote,novote,novote,2,novote,4,1,3,0,0,6
20649,U13-047,2022AR13A,Valide,1,novote,2,2,novote,novote,2,1,2,2,7,2,5,0,0,3
20662,U13-031,2022AR13B,Valide,4,1,4,1,4,1,3,4,4,1,10,4,0,1,5,0
20718,U13-051,2022AR13B,Valide,novote,novote,novote,novote,2,novote,2,2,novote,1,4,1,3,0,0,6
20739,U13-085,2022AR13A,Valide,novote,novote,novote,novote,novote,1,1,1,novote,1,4,4,0,0,0,6
20743,U13-032,2022AR13A,Valide,2,2,2,2,1,1,2,2,novote,novote,8,2,6,0,0,2
20763,U13-032,2022AR13A,Valide,2,1,1,novote,2,1,2,1,2,1,9,5,4,0,0,1
20772,U13-081,2022AR13A,Nul,1,novote,novote,novote,novote,novote,novote,novote,novote,novote,1,1,0,0,0,9
20787,U13-085,2022AR13A,Valide,3,2,3,2,2,2,1,1,3,1,10,3,4,3,0,0
20833,U13-085,2022AR13A,Valide,novote,1,novote,novote,1,1,1,novote,novote,novote,4,4,0,0,0,6
20842,U13-032,2022AR13A,Valide,1,novote,1,novote,novote,novote,novote,novote,1,1,4,4,0,0,0,6
20888,U13-085,2022AR13B,Nul,novote,novote,2,novote,1 2,1 2,1 2,2,1 2,1 2,2,0,2,0,0,3
20947,U13-085,2022AR13A,Valide,2,1,1,2,1,3,1,1,2,1,10,6,3,1,0,0
20981,U13-085,2022AR13A,Valide,3,3,3,3,2,3,1,1,3,2,10,2,2,6,0,0
20999,U13-051,2022AR13B,Valide,3,3,novote,3,3,3,3,2,3,3,9,0,1,8,0,1
21011,U13-079,2022AR13B,Valide,3,2,3,2,3,3,1,2,2,2,10,1,5,4,0,0
21026,U13-079,2022AR13B,Valide,novote,1,novote,novote,1,novote,1,novote,1,novote,4,4,0,0,0,6
21029,U13-081,2022AR13A,Valide,1,1,1,1,1,1,1,1,1,1,10,10,0,0,0,0
21033,U13-051,2022AR13B,Valide,3,3,3,1,2,3,1,3,3,1,10,3,1,6,0,0
21039,U13-032,2022AR13A,Valide,1,1,1,1,1,1,novote,novote,novote,novote,6,6,0,0,0,4
21051,U13-032,2022AR13A,Valide,1,novote,1,novote,1,novote,novote,1,novote,novote,4,4,0,0,0,6
21084,U13-047,2022AR13A,Valide,1,1,2,2,1,1,1,1,3,2,10,6,3,1,0,0
21097,U13-085,2022AR13A,Blanc,novote,novote,novote,novote,novote,novote,novote,novote,novote,novote,0,0,0,0,0,10
